TamanoMatriz;Procesos;Tiempo
5300;22;0.091065
5500;26;0.190681
5900;30;0.106161
5900;28;0.100570
6100;32;0.108850
5500;24;0.093538
10100;20;0.255283
5500;22;0.098752
6100;30;0.111392
5700;26;0.150562
6100;28;0.112818
6300;32;0.110207
5700;24;0.100043
10300;16;0.793261
13100;10;0.443174
5700;22;0.100685
6300;30;0.113014
10500;14;0.289610
10300;18;0.270895
6300;28;0.137317
6500;32;0.114992
5900;26;0.151547
5900;24;0.110812
10300;20;0.265558
13100;12;0.439071
6500;30;0.119777
6500;28;0.116757
5900;22;0.106112
6700;32;0.121066
6100;26;0.157667
6100;24;0.112471
6700;30;0.123329
6700;28;0.123279
10500;16;0.386278
6100;22;0.112193
10700;14;0.294411
10500;18;0.276420
6900;32;0.127341
6300;26;0.161343
10500;20;0.273707
6300;24;0.119088
6900;30;0.131378
6900;28;0.127317
13300;10;0.456998
7100;32;0.131350
6300;22;0.115570
6500;26;0.168068
7100;30;0.138250
13300;12;0.447404
6500;24;0.123127
7100;28;0.135679
10700;16;0.321860
10700;18;0.289566
10900;14;0.309411
7300;32;0.138772
6500;22;0.122134
10700;20;0.281022
6700;26;0.172385
7300;30;0.142748
7300;28;0.140809
6700;24;0.128659
7500;32;0.144608
100;34;0.027581
300;34;0.022376
500;34;0.031830
6700;22;0.128788
700;34;0.031227
6900;26;0.173828
13500;10;0.472935
900;34;0.031474
10900;16;0.389314
7500;28;0.157604
7500;30;0.150132
1100;34;0.057853
10900;18;0.297963
11100;14;0.316470
1300;34;0.059409
6900;24;0.137737
1500;34;0.063044
7700;32;0.151443
1700;34;0.064109
10900;20;0.293574
13500;12;0.460307
1900;34;0.066232
2100;34;0.069196
2300;34;0.072500
6900;22;0.149213
7100;26;0.179906
7700;28;0.163466
7700;30;0.156725
2500;34;0.075654
7100;24;0.142796
2700;34;0.078905
7900;32;0.158545
2900;34;0.082989
11100;16;0.456304
3100;34;0.087064
11300;14;0.324204
11100;18;0.305397
3300;34;0.088328
7900;28;0.163176
7900;30;0.163180
7300;26;0.193237
7100;22;0.138460
11100;20;0.302642
3500;34;0.095148
13700;10;0.483765
8100;32;0.164780
7300;24;0.149639
3700;34;0.096685
3900;34;0.097151
8100;28;0.169507
13700;12;0.472593
8100;30;0.169021
4100;34;0.098746
7500;26;0.232154
7300;22;0.144033
8300;32;0.172449
11300;16;0.342986
4300;34;0.102562
7500;24;0.157219
11500;14;0.336115
11300;18;0.319613
4500;34;0.105459
11300;20;0.313182
8300;28;0.184992
8300;30;0.181539
4700;34;0.107508
7700;26;0.195953
8500;32;0.180817
7500;22;0.154349
4900;34;0.110867
7700;24;0.174368
